invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I100942,C192961,Male,65,Cosmetics,5,550.06,Debit Card,28/11/2021,Istinye Park
I100943,C135929,Female,57,Shoes,2,3449.78,Cash,28/03/2021,Zorlu Center
I100944,C150051,Female,54,Books,4,98.13,Credit Card,11/09/2021,Metrocity
I100945,C182502,Female,29,Shoes,5,774.53,Cash,12/01/2022,Watergarden Istanbul
I100946,C167384,Female,26,Toys,5,307.58,Cash,17/01/2022,Mall of Istanbul
I100947,C102419,Female,27,Clothing,5,137.02,Cash,12/05/2021,Istinye Park
I100948,C138581,Male,50,Books,4,169.22,Debit Card,06/11/2022,Istinye Park
I100949,C141838,Male,26,Souvenir,2,141.92,Cash,10/05/2021,Istinye Park
I100950,C150477,Male,53,Technology,5,2060.8,Credit Card,31/03/2021,Watergarden Istanbul
I100951,C143227,Female,65,Shoes,5,2028.4,Debit Card,10/08/2022,Mall of Istanbul
I100952,C174371,Female,57,Shoes,2,3087.92,Credit Card,22/02/2022,Kanyon
I100953,C170544,Male,24,Books,4,203.11,Credit Card,21/11/2021,Kanyon
I100954,C119064,Female,62,Shoes,3,1346.52,Debit Card,07/06/2021,Emaar Square Mall
I100955,C160376,Male,39,Food & Beverage,3,144.71,Cash,03/02/2023,Cevahir AVM
I100956,C107287,Female,63,Toys,3,468.05,Debit Card,28/08/2022,Cevahir AVM
I100957,C158904,Female,26,Shoes,3,2273.76,Debit Card,19/07/2021,Forum Istanbul
I100958,C105139,Male,69,Food & Beverage,5,184.22,Cash,25/02/2022,Watergarden Istanbul
I100959,C170577,Male,26,Cosmetics,1,575.99,Debit Card,29/03/2022,Zorlu Center
I100960,C190781,Male,33,Clothing,2,65.44,Cash,12/02/2023,Metrocity
I100961,C149468,Male,28,Toys,4,494.89,Cash,26/08/2021,Cevahir AVM
I100962,C139871,Female,69,Clothing,3,682.45,Cash,03/12/2022,Zorlu Center
I100963,C159066,Male,54,Technology,1,5127.0,Debit Card,24/12/2022,Emaar Square Mall
I100964,C172338,Male,18,Technology,4,5140.41,Credit Card,17/01/2022,Zorlu Center
I100965,C103605,Female,20,Shoes,4,451.93,Debit Card,14/02/2022,Cevahir AVM
I100966,C130502,Female,59,Souvenir,1,141.75,Debit Card,27/07/2022,Emaar Square Mall
I100967,C176028,Female,51,Technology,4,6840.67,Debit Card,11/08/2021,Forum Istanbul
I100968,C109866,Female,25,Technology,2,4024.68,Debit Card,02/08/2021,Metropol AVM
I100969,C129049,Male,32,Technology,1,3108.53,Credit Card,27/02/2021,Kanyon
I100970,C169224,Female,37,Toys,5,450.14,Debit Card,11/08/2022,Metrocity
I100971,C161748,Female,47,Food & Beverage,4,17.62,Credit Card,24/09/2022,Cevahir AVM
I100972,C124394,Male,64,Souvenir,2,80.83,Credit Card,26/01/2023,Zorlu Center
I100973,C178938,Male,39,Clothing,5,562.27,Credit Card,01/02/2022,Zorlu Center
I100974,C198508,Male,39,Technology,3,5803.71,Cash,30/06/2021,Kanyon
I100975,C177261,Male,47,Technology,2,6587.96,Cash,03/01/2021,Cevahir AVM
I100976,C128269,Female,52,Food & Beverage,3,58.16,Cash,18/03/2021,Watergarden Istanbul
I100977,C134575,Female,22,Toys,5,191.2,Cash,21/12/2021,Forum Istanbul
I100978,C103213,Female,34,Clothing,3,121.54,Cash,31/08/2021,Watergarden Istanbul
I100979,C192851,Female,24,Technology,1,3960.47,Credit Card,23/12/2021,Mall of Istanbul
I100980,C118819,Male,65,Souvenir,4,241.46,Cash,03/01/2023,Watergarden Istanbul
I100981,C136033,Female,64,Souvenir,3,131.54,Debit Card,11/08/2022,Metropol AVM
I100982,C111129,Male,52,Clothing,2,1207.1,Credit Card,18/12/2021,Metrocity
I100983,C153514,Female,55,Food & Beverage,4,46.58,Debit Card,05/04/2021,Watergarden Istanbul
I100984,C117282,Male,34,Souvenir,5,260.56,Debit Card,28/06/2021,Kanyon
I100985,C198861,Male,56,Technology,3,620.41,Credit Card,27/09/2021,Metropol AVM
I100986,C131673,Male,46,Cosmetics,1,547.61,Cash,21/04/2021,Metropol AVM
I100987,C129223,Male,46,Shoes,3,1635.07,Credit Card,16/06/2021,Forum Istanbul
I100988,C161733,Male,38,Toys,4,151.4,Cash,27/11/2022,Mall of Istanbul
I100989,C159365,Female,24,Shoes,2,2410.44,Credit Card,12/05/2021,Mall of Istanbul
I100990,C180198,Female,48,Souvenir,4,210.43,Debit Card,10/03/2022,Emaar Square Mall
I100991,C124391,Female,36,Shoes,5,3482.9,Debit Card,13/06/2021,Cevahir AVM
I100992,C148819,Male,56,Cosmetics,2,412.02,Credit Card,31/05/2022,Emaar Square Mall
I100993,C157226,Male,31,Cosmetics,3,683.95,Credit Card,08/03/2021,Mall of Istanbul
I100994,C140131,Male,48,Books,4,165.03,Debit Card,25/04/2022,Kanyon
I100995,C152847,Male,55,Clothing,5,675.88,Cash,23/06/2022,Metrocity
I100996,C126513,Female,44,Technology,2,2825.73,Debit Card,17/07/2021,Watergarden Istanbul
I100997,C134472,Male,67,Clothing,2,1435.9,Debit Card,28/05/2022,Kanyon
I100998,C104787,Female,18,Shoes,1,2771.65,Credit Card,21/06/2022,Forum Istanbul
I100999,C197793,Female,40,Clothing,5,1065.24,Cash,25/08/2022,Kanyon
I101000,C120669,Female,38,Food & Beverage,5,98.97,Credit Card,15/12/2021,Cevahir AVM
I101001,C102363,Male,67,Shoes,4,2888.66,Cash,21/06/2022,Forum Istanbul
I101002,C114626,Female,69,Shoes,1,1087.32,Credit Card,06/04/2021,Watergarden Istanbul
I101003,C182433,Male,43,Cosmetics,1,580.39,Debit Card,02/01/2021,Watergarden Istanbul
I101004,C154395,Male,51,Clothing,1,305.5,Cash,20/08/2021,Metrocity
I101005,C142546,Female,43,Clothing,3,680.61,Cash,28/05/2022,Emaar Square Mall
I101006,C126108,Female,51,Clothing,2,538.02,Credit Card,30/07/2021,Emaar Square Mall
I101007,C192097,Male,37,Clothing,3,1118.94,Debit Card,24/08/2021,Forum Istanbul
I101008,C174318,Female,22,Shoes,1,548.87,Debit Card,07/05/2021,Emaar Square Mall
I101009,C106387,Male,64,Clothing,2,103.28,Cash,27/09/2022,Watergarden Istanbul
I101010,C129809,Female,43,Cosmetics,3,341.8,Debit Card,14/12/2021,Emaar Square Mall
I101011,C122552,Female,34,Souvenir,1,259.0,Cash,08/07/2022,Metropol AVM
I101012,C163148,Female,54,Technology,1,5269.73,Debit Card,18/01/2023,Metrocity
I101013,C109635,Male,32,Books,1,57.03,Cash,07/01/2021,Watergarden Istanbul
I101014,C133936,Female,42,Cosmetics,4,101.73,Credit Card,04/12/2022,Metropol AVM
I101015,C142497,Male,44,Food & Beverage,3,72.08,Cash,20/01/2021,Watergarden Istanbul
I101016,C140452,Female,60,Clothing,2,166.35,Credit Card,14/04/2022,Metropol AVM
I101017,C163460,Male,25,Souvenir,5,296.69,Cash,24/11/2021,Metrocity
I101018,C181034,Male,58,Toys,5,87.86,Cash,20/07/2021,Zorlu Center
I101019,C138975,Male,67,Shoes,2,1666.27,Cash,25/07/2021,Zorlu Center
I101020,C149998,Female,30,Food & Beverage,4,119.09,Debit Card,03/03/2022,Metropol AVM
I101021,C133172,Female,44,Shoes,4,2828.91,Cash,16/06/2021,Metrocity
I101022,C136430,Male,58,Books,5,199.4,Debit Card,10/02/2023,Metropol AVM
I101023,C164698,Male,31,Cosmetics,2,202.87,Cash,26/04/2022,Cevahir AVM
I101024,C191007,Female,59,Shoes,2,410.4,Debit Card,19/01/2021,Kanyon
I101025,C188347,Male,54,Shoes,1,2750.2,Cash,27/08/2022,Forum Istanbul
I101026,C169423,Female,41,Toys,5,282.75,Debit Card,11/12/2022,Metrocity
I101027,C189332,Male,37,Cosmetics,2,215.12,Credit Card,27/03/2022,Metropol AVM
I101028,C156451,Female,32,Shoes,4,2794.55,Credit Card,25/12/2022,Istinye Park
I101029,C195005,Female,45,Food & Beverage,4,142.25,Cash,03/04/2022,Emaar Square Mall
I101030,C146851,Male,59,Souvenir,2,166.75,Credit Card,02/11/2021,Mall of Istanbul
I101031,C164150,Female,22,Shoes,2,1649.83,Credit Card,05/05/2022,Watergarden Istanbul
I101032,C136315,Female,42,Books,4,24.23,Debit Card,30/03/2021,Cevahir AVM
I101033,C136869,Male,40,Technology,3,5326.17,Credit Card,12/09/2022,Kanyon
I101034,C119548,Male,31,Technology,2,3096.31,Credit Card,14/05/2021,Zorlu Center
I101035,C157569,Male,59,Cosmetics,3,583.05,Debit Card,27/05/2021,Watergarden Istanbul
I101036,C176298,Male,65,Food & Beverage,3,89.13,Credit Card,18/10/2021,Forum Istanbul
I101037,C166159,Female,30,Food & Beverage,5,179.84,Cash,12/05/2022,Istinye Park
I101038,C123354,Female,65,Shoes,2,1748.13,Cash,01/03/2022,Watergarden Istanbul
I101039,C190442,Female,68,Shoes,1,2728.09,Cash,01/01/2022,Emaar Square Mall
I101040,C129411,Female,23,Souvenir,3,88.48,Cash,24/05/2022,Metrocity
I101041,C106528,Male,62,Cosmetics,5,448.14,Debit Card,04/06/2021,Metropol AVM
I101042,C162953,Female,47,Clothing,1,626.52,Debit Card,14/01/2023,Metropol AVM
I101043,C166711,Female,24,Food & Beverage,5,172.01,Credit Card,14/10/2022,Metrocity
I101044,C131476,Male,57,Souvenir,2,148.95,Cash,03/08/2021,Watergarden Istanbul
I101045,C145182,Female,36,Clothing,3,1478.12,Cash,24/08/2021,Forum Istanbul
I101046,C133342,Female,27,Food & Beverage,1,36.33,Debit Card,10/08/2021,Emaar Square Mall
I101047,C121890,Male,38,Souvenir,3,162.51,Cash,10/07/2021,Metrocity
I101048,C136632,Female,18,Souvenir,1,33.59,Cash,10/03/2022,Metrocity
I101049,C129274,Male,32,Cosmetics,1,326.46,Debit Card,19/03/2021,Forum Istanbul
I101050,C168273,Female,24,Clothing,5,231.3,Debit Card,11/04/2021,Emaar Square Mall
I101051,C176002,Female,38,Shoes,3,2481.47,Cash,14/02/2022,Mall of Istanbul
I101052,C144227,Male,33,Food & Beverage,5,130.95,Cash,07/12/2021,Cevahir AVM
I101053,C116304,Female,33,Souvenir,1,76.09,Debit Card,13/05/2021,Kanyon
I101054,C180016,Male,57,Clothing,1,162.08,Cash,26/09/2021,Zorlu Center
I101055,C134630,Male,25,Shoes,3,3159.21,Debit Card,16/09/2022,Kanyon
I101056,C123776,Male,57,Toys,5,334.47,Cash,14/04/2021,Metropol AVM
I101057,C123391,Male,23,Shoes,3,1027.88,Credit Card,14/07/2022,Forum Istanbul
I101058,C146777,Female,20,Cosmetics,1,495.82,Cash,13/01/2022,Forum Istanbul
I101059,C160766,Female,56,Toys,2,78.83,Credit Card,20/08/2022,Emaar Square Mall
I101060,C101644,Male,19,Food & Beverage,3,111.41,Credit Card,24/04/2022,Mall of Istanbul
I101061,C137843,Male,34,Books,5,26.7,Cash,30/01/2022,Emaar Square Mall
I101062,C131412,Female,39,Food & Beverage,2,169.0,Debit Card,16/01/2022,Metropol AVM
I101063,C140547,Male,55,Clothing,1,1291.63,Debit Card,04/11/2021,Cevahir AVM
I101064,C180877,Female,34,Food & Beverage,2,81.83,Cash,02/04/2021,Emaar Square Mall
I101065,C176722,Male,25,Cosmetics,5,279.58,Cash,06/11/2021,Zorlu Center
I101066,C164091,Female,53,Toys,4,59.78,Credit Card,16/10/2021,Kanyon
I101067,C160854,Male,49,Toys,1,226.94,Cash,30/03/2021,Zorlu Center
I101068,C102550,Female,40,Cosmetics,2,161.1,Cash,18/01/2022,Forum Istanbul
I101069,C178219,Male,59,Clothing,1,605.35,Debit Card,19/01/2021,Zorlu Center
I101070,C119235,Male,40,Shoes,1,1998.3,Cash,17/07/2021,Mall of Istanbul
I101071,C135213,Female,69,Toys,3,420.91,Cash,18/08/2022,Cevahir AVM
I101072,C100978,Male,22,Souvenir,1,188.36,Credit Card,06/07/2021,Cevahir AVM
I101073,C119563,Female,63,Clothing,2,1361.88,Cash,19/03/2021,Zorlu Center
I101074,C171162,Female,41,Souvenir,1,106.55,Cash,07/07/2022,Metrocity
I101075,C164561,Female,34,Food & Beverage,2,97.42,Credit Card,07/03/2022,Istinye Park
I101076,C193681,Male,28,Books,3,131.32,Debit Card,24/01/2022,Mall of Istanbul
I101077,C199954,Female,48,Clothing,3,1318.88,Debit Card,09/11/2021,Mall of Istanbul
I101078,C111247,Male,49,Books,3,31.06,Debit Card,28/09/2022,Forum Istanbul
I101079,C163219,Male,51,Books,1,179.96,Cash,10/11/2022,Istinye Park
I101080,C138367,Male,54,Souvenir,4,51.63,Debit Card,03/11/2022,Kanyon
I101081,C188562,Female,42,Clothing,3,1493.83,Cash,01/11/2022,Cevahir AVM
I101082,C120737,Female,33,Food & Beverage,4,162.9,Debit Card,12/06/2021,Zorlu Center
I101083,C197180,Female,36,Cosmetics,3,108.02,Credit Card,06/01/2022,Watergarden Istanbul
I101084,C110094,Female,49,Toys,5,330.8,Credit Card,13/03/2021,Kanyon
I101085,C146904,Male,61,Books,5,34.18,Debit Card,22/09/2021,Metropol AVM
I101086,C187850,Male,39,Clothing,5,1357.76,Credit Card,11/10/2021,Zorlu Center
I101087,C167430,Male,24,Shoes,3,1159.09,Debit Card,29/05/2022,Mall of Istanbul
I101088,C160771,Male,41,Food & Beverage,1,146.82,Debit Card,08/09/2021,Mall of Istanbul
I101089,C189338,Male,42,Toys,3,384.68,Debit Card,09/01/2022,Watergarden Istanbul
I101090,C142805,Male,18,Shoes,4,450.26,Debit Card,08/01/2022,Watergarden Istanbul
I101091,C161963,Male,30,Cosmetics,1,322.94,Debit Card,27/01/2023,Watergarden Istanbul
I101092,C120635,Male,66,Technology,2,6657.77,Debit Card,12/07/2021,Watergarden Istanbul
I101093,C161207,Male,39,Shoes,3,1788.57,Debit Card,24/07/2021,Istinye Park
I101094,C163098,Male,21,Clothing,4,525.21,Cash,16/08/2022,Metrocity
I101095,C147013,Female,41,Shoes,5,895.06,Credit Card,15/07/2022,Emaar Square Mall
I101096,C172475,Female,59,Souvenir,2,73.66,Debit Card,03/06/2022,Mall of Istanbul
I101097,C153238,Female,20,Clothing,4,1405.78,Cash,23/12/2022,Kanyon
I101098,C185156,Male,34,Toys,1,465.48,Credit Card,31/12/2022,Forum Istanbul
I101099,C142838,Female,69,Food & Beverage,1,191.09,Cash,22/12/2022,Metrocity
I101100,C171901,Female,30,Technology,1,2755.18,Credit Card,05/07/2021,Istinye Park
I101101,C156746,Male,38,Shoes,3,3155.77,Credit Card,26/02/2022,Cevahir AVM
I101102,C138208,Male,47,Technology,5,4740.86,Credit Card,08/03/2022,Mall of Istanbul
I101103,C138770,Male,48,Books,3,62.28,Cash,09/11/2022,Cevahir AVM
I101104,C130647,Male,69,Cosmetics,2,424.23,Debit Card,30/11/2022,Zorlu Center
I101105,C199065,Female,23,Shoes,4,1614.6,Debit Card,23/02/2023,Watergarden Istanbul
I101106,C157792,Male,41,Souvenir,3,48.34,Cash,01/04/2021,Forum Istanbul
I101107,C108193,Female,37,Technology,5,6940.28,Cash,03/08/2021,Metrocity
I101108,C108456,Male,41,Souvenir,2,253.88,Cash,13/05/2021,Metropol AVM
I101109,C149120,Female,57,Food & Beverage,5,69.57,Cash,12/03/2022,Zorlu Center
I101110,C119102,Female,35,Cosmetics,1,296.74,Credit Card,12/08/2022,Zorlu Center
I101111,C138530,Female,20,Shoes,2,2950.55,Cash,23/07/2022,Cevahir AVM
I101112,C107434,Male,27,Souvenir,5,231.18,Debit Card,28/07/2021,Forum Istanbul
I101113,C124299,Female,30,Clothing,2,364.56,Cash,02/02/2021,Watergarden Istanbul
I101114,C110767,Female,40,Shoes,5,1760.81,Credit Card,22/12/2022,Watergarden Istanbul
I101115,C104893,Female,62,Clothing,4,1330.23,Debit Card,22/12/2021,Kanyon
I101116,C137276,Male,67,Toys,5,79.69,Debit Card,25/07/2021,Watergarden Istanbul
I101117,C104352,Male,65,Books,5,136.21,Credit Card,23/01/2021,Metrocity
I101118,C129182,Male,53,Toys,5,147.1,Credit Card,16/05/2022,Kanyon
I101119,C128045,Female,23,Cosmetics,1,384.26,Cash,24/08/2022,Zorlu Center
I101120,C160795,Male,20,Souvenir,2,126.24,Credit Card,25/09/2022,Mall of Istanbul
I101121,C193291,Female,54,Food & Beverage,4,139.76,Credit Card,13/01/2022,Watergarden Istanbul
I101122,C176883,Male,34,Souvenir,1,291.11,Cash,13/12/2021,Watergarden Istanbul
I101123,C102030,Female,57,Souvenir,4,98.1,Credit Card,02/11/2022,Watergarden Istanbul
I101124,C181418,Male,20,Clothing,2,723.84,Cash,27/06/2022,Metrocity
I101125,C111554,Male,55,Cosmetics,1,193.81,Debit Card,25/02/2022,Zorlu Center
I101126,C103375,Female,64,Shoes,5,1575.82,Cash,26/02/2022,Metrocity
I101127,C190440,Male,67,Souvenir,1,169.75,Credit Card,17/01/2022,Mall of Istanbul
I101128,C179994,Male,51,Books,3,192.32,Cash,07/05/2022,Metrocity
I101129,C161514,Male,31,Technology,5,3842.29,Debit Card,05/09/2021,Emaar Square Mall
I101130,C154386,Female,49,Toys,1,280.8,Cash,10/05/2022,Forum Istanbul
I101131,C192562,Female,41,Souvenir,1,75.96,Credit Card,22/10/2021,Watergarden Istanbul
I101132,C137869,Male,31,Shoes,1,877.83,Cash,03/04/2021,Watergarden Istanbul
I101133,C118817,Male,60,Food & Beverage,5,71.56,Debit Card,10/11/2021,Metropol AVM
I101134,C158269,Male,56,Shoes,1,2381.07,Cash,26/10/2022,Zorlu Center
I101135,C111628,Female,37,Books,5,141.52,Credit Card,09/07/2021,Mall of Istanbul
I101136,C192240,Male,22,Toys,1,205.57,Credit Card,22/02/2023,Watergarden Istanbul
I101137,C173360,Male,66,Food & Beverage,1,127.56,Credit Card,28/09/2021,Emaar Square Mall
I101138,C109852,Male,28,Souvenir,2,18.2,Debit Card,10/01/2023,Cevahir AVM
I101139,C173431,Male,69,Books,2,36.9,Debit Card,20/02/2023,Kanyon
I101140,C121155,Male,66,Food & Beverage,1,142.4,Cash,02/01/2022,Cevahir AVM
I101141,C111066,Female,26,Technology,4,5300.57,Credit Card,08/06/2022,Mall of Istanbul
I101142,C122433,Female,22,Cosmetics,5,566.31,Cash,24/06/2021,Metropol AVM
I101143,C142070,Male,32,Cosmetics,3,529.87,Credit Card,11/03/2021,Cevahir AVM
I101144,C175130,Female,23,Technology,3,3800.01,Debit Card,02/09/2021,Forum Istanbul
I101145,C177662,Female,26,Cosmetics,3,670.79,Cash,02/06/2021,Watergarden Istanbul
I101146,C134978,Male,39,Clothing,4,795.92,Debit Card,07/02/2023,Mall of Istanbul
I101147,C166875,Male,34,Food & Beverage,4,49.17,Cash,23/04/2022,Zorlu Center
I101148,C147654,Male,65,Food & Beverage,3,115.26,Cash,18/01/2023,Mall of Istanbul
I101149,C192164,Female,48,Food & Beverage,5,182.86,Debit Card,02/04/2022,Mall of Istanbul
I101150,C122303,Female,26,Food & Beverage,3,145.16,Credit Card,22/01/2021,Mall of Istanbul
I101151,C133502,Male,20,Cosmetics,4,376.16,Credit Card,11/08/2022,Metrocity
I101152,C196327,Female,57,Souvenir,5,159.73,Cash,25/09/2021,Emaar Square Mall
I101153,C120744,Female,62,Food & Beverage,1,106.91,Debit Card,05/07/2021,Watergarden Istanbul
I101154,C100960,Female,36,Toys,2,242.54,Cash,21/03/2021,Istinye Park
I101155,C133422,Female,27,Clothing,3,1208.29,Credit Card,11/05/2021,Istinye Park
I101156,C167519,Female,41,Souvenir,5,113.55,Cash,24/04/2021,Mall of Istanbul
I101157,C100624,Female,44,Shoes,1,2919.08,Cash,27/07/2022,Metropol AVM
I101158,C198772,Female,51,Shoes,1,2797.84,Debit Card,08/09/2021,Cevahir AVM
I101159,C129873,Male,38,Souvenir,5,65.52,Cash,04/09/2021,Emaar Square Mall
I101160,C110494,Male,53,Clothing,1,702.26,Cash,30/09/2021,Metrocity
I101161,C145056,Female,66,Clothing,5,827.12,Debit Card,09/09/2022,Istinye Park
I101162,C138367,Female,60,Toys,3,584.59,Debit Card,03/05/2021,Metrocity
I101163,C190033,Male,36,Technology,3,4874.18,Cash,19/04/2021,Emaar Square Mall
I101164,C135229,Female,38,Souvenir,2,168.3,Debit Card,03/12/2022,Emaar Square Mall
I101165,C136981,Female,35,Books,1,144.04,Cash,04/09/2021,Metrocity
I101166,C192328,Female,19,Technology,3,2474.02,Cash,13/09/2021,Metropol AVM
I101167,C165851,Male,56,Food & Beverage,4,117.23,Cash,07/05/2021,Watergarden Istanbul
I101168,C143288,Male,26,Shoes,1,3075.56,Debit Card,13/02/2021,Zorlu Center
I101169,C164552,Male,59,Food & Beverage,1,165.81,Cash,29/04/2022,Kanyon
I101170,C115850,Female,32,Books,1,154.55,Credit Card,24/10/2022,Metrocity
I101171,C198393,Female,61,Souvenir,2,128.95,Cash,31/01/2022,Zorlu Center
I101172,C122586,Male,39,Cosmetics,5,517.27,Debit Card,13/02/2023,Watergarden Istanbul
I101173,C169875,Female,35,Cosmetics,5,663.75,Credit Card,06/01/2021,Forum Istanbul
I101174,C168264,Male,31,Clothing,4,1362.18,Debit Card,14/04/2022,Kanyon
I101175,C167590,Male,68,Clothing,4,223.38,Credit Card,25/02/2022,Cevahir AVM
I101176,C137526,Female,31,Souvenir,3,147.19,Cash,22/01/2023,Istinye Park
I101177,C148651,Female,28,Food & Beverage,4,109.25,Cash,24/11/2021,Metrocity
I101178,C162093,Female,46,Technology,3,3514.7,Debit Card,01/03/2022,Forum Istanbul
I101179,C165895,Female,29,Technology,2,544.89,Cash,21/11/2021,Cevahir AVM
I101180,C123232,Female,49,Books,4,71.87,Credit Card,04/12/2022,Kanyon
I101181,C142999,Female,19,Cosmetics,3,729.7,Cash,15/12/2022,Forum Istanbul
I101182,C119184,Male,59,Clothing,5,383.0,Cash,18/10/2021,Forum Istanbul
I101183,C183021,Male,57,Shoes,2,2665.72,Debit Card,11/06/2021,Metrocity
I101184,C132719,Male,22,Clothing,5,1099.71,Cash,12/07/2021,Metrocity
I101185,C104990,Male,36,Books,1,56.67,Cash,30/03/2021,Forum Istanbul
I101186,C181465,Female,24,Clothing,5,466.03,Credit Card,06/02/2023,Kanyon
I101187,C104954,Male,53,Books,5,189.38,Cash,21/01/2022,Istinye Park
I101188,C190294,Male,69,Shoes,2,614.86,Cash,29/08/2022,Emaar Square Mall
I101189,C195672,Female,28,Clothing,2,417.96,Credit Card,18/10/2022,Cevahir AVM
I101190,C191040,Female,18,Books,5,103.1,Debit Card,13/05/2021,Forum Istanbul
I101191,C185147,Female,67,Souvenir,1,68.61,Credit Card,28/02/2022,Metropol AVM
I101192,C143929,Female,19,Cosmetics,3,658.53,Cash,27/11/2022,Emaar Square Mall
I101193,C129420,Male,23,Cosmetics,1,646.78,Credit Card,09/04/2022,Metrocity
I101194,C192380,Female,59,Shoes,3,2984.83,Cash,08/08/2022,Metrocity
I101195,C153042,Female,60,Books,5,151.04,Debit Card,18/05/2021,Metrocity
I101196,C176120,Male,30,Shoes,3,2527.45,Debit Card,28/02/2023,Zorlu Center
I101197,C133390,Female,67,Food & Beverage,4,182.83,Cash,02/11/2021,Kanyon
I101198,C101736,Female,52,Shoes,3,1582.48,Debit Card,26/03/2021,Mall of Istanbul
I101199,C166802,Male,58,Technology,5,1857.61,Cash,01/07/2021,Metropol AVM
I101200,C154900,Male,63,Technology,5,1678.59,Credit Card,14/03/2022,Kanyon
I101201,C110360,Female,21,Clothing,1,241.65,Cash,28/04/2021,Istinye Park
I101202,C175269,Female,51,Cosmetics,1,464.01,Cash,24/11/2022,Metropol AVM
I101203,C153055,Male,23,Souvenir,3,242.18,Cash,10/09/2022,Metrocity
I101204,C110278,Male,55,Clothing,4,212.47,Debit Card,12/06/2022,Cevahir AVM
I101205,C133024,Male,56,Souvenir,3,216.38,Credit Card,24/06/2022,Watergarden Istanbul
I101206,C149626,Male,54,Toys,1,504.32,Cash,19/04/2021,Forum Istanbul
I101207,C166315,Female,69,Toys,1,259.68,Debit Card,19/01/2023,Metropol AVM
I101208,C131963,Male,19,Cosmetics,2,316.45,Debit Card,02/05/2021,Kanyon
I101209,C112019,Male,40,Shoes,5,1677.98,Cash,05/02/2021,Metropol AVM
I101210,C185290,Female,67,Technology,2,564.36,Cash,20/06/2022,Forum Istanbul
I101211,C179481,Female,29,Technology,2,2144.85,Credit Card,11/02/2023,Emaar Square Mall
I101212,C154827,Female,57,Shoes,2,446.29,Credit Card,27/06/2021,Emaar Square Mall
I101213,C147471,Female,54,Souvenir,4,84.47,Debit Card,16/11/2021,Metropol AVM
I101214,C105600,Female,58,Technology,3,3230.71,Debit Card,01/06/2021,Watergarden Istanbul
I101215,C146821,Female,51,Books,5,213.08,Credit Card,22/07/2021,Emaar Square Mall
I101216,C143851,Female,57,Technology,1,4067.51,Cash,26/08/2022,Emaar Square Mall
I101217,C187188,Male,23,Books,4,184.37,Credit Card,06/01/2022,Kanyon
I101218,C179566,Female,32,Cosmetics,2,545.85,Cash,13/07/2022,Zorlu Center
I101219,C113742,Female,66,Toys,3,56.12,Credit Card,21/02/2022,Watergarden Istanbul
I101220,C164158,Female,30,Technology,2,5768.79,Credit Card,19/05/2022,Cevahir AVM
I101221,C165458,Male,44,Cosmetics,1,575.84,Cash,10/04/2022,Zorlu Center
I101222,C198097,Female,53,Souvenir,1,44.93,Credit Card,16/06/2022,Zorlu Center
I101223,C121994,Male,45,Cosmetics,3,434.05,Cash,22/05/2021,Istinye Park
I101224,C141452,Female,56,Technology,1,6900.32,Cash,14/11/2021,Cevahir AVM
I101225,C113395,Male,61,Cosmetics,1,632.64,Credit Card,12/08/2021,Metrocity
I101226,C115981,Female,33,Toys,5,370.75,Cash,20/10/2021,Metrocity
I101227,C108650,Female,19,Books,4,67.54,Credit Card,15/07/2021,Istinye Park
I101228,C182338,Female,56,Cosmetics,5,135.3,Debit Card,05/01/2021,Kanyon
I101229,C163721,Male,26,Books,4,25.55,Cash,17/11/2022,Istinye Park
I101230,C125591,Female,69,Technology,3,1172.59,Credit Card,07/03/2021,Watergarden Istanbul
I101231,C192871,Male,60,Cosmetics,1,517.16,Cash,05/06/2021,Mall of Istanbul
I101232,C174188,Female,46,Souvenir,1,17.65,Cash,29/09/2021,Emaar Square Mall
I101233,C134383,Female,40,Toys,3,298.21,Credit Card,24/08/2021,Cevahir AVM
I101234,C144047,Male,42,Food & Beverage,2,48.26,Cash,03/12/2022,Istinye Park
I101235,C120266,Female,47,Shoes,3,2341.89,Debit Card,24/05/2021,Emaar Square Mall
I101236,C117058,Female,35,Toys,5,133.12,Debit Card,29/10/2021,Mall of Istanbul
I101237,C107880,Male,43,Souvenir,1,55.14,Cash,13/09/2021,Watergarden Istanbul
I101238,C135525,Male,32,Souvenir,1,153.87,Credit Card,16/09/2022,Mall of Istanbul
I101239,C152426,Female,52,Cosmetics,2,577.19,Credit Card,30/04/2021,Metrocity
I101240,C115528,Female,35,Toys,4,80.3,Cash,11/10/2022,Kanyon
I101241,C142078,Male,63,Technology,5,4439.97,Debit Card,22/11/2021,Forum Istanbul
I101242,C139324,Male,41,Books,5,166.79,Credit Card,28/02/2023,Istinye Park
I101243,C198595,Female,43,Toys,5,408.77,Cash,18/12/2021,Metropol AVM
I101244,C165932,Male,64,Books,4,236.25,Credit Card,30/01/2022,Zorlu Center
I101245,C111845,Female,31,Souvenir,3,23.21,Cash,06/12/2022,Cevahir AVM
I101246,C185139,Male,29,Cosmetics,4,195.29,Debit Card,27/11/2021,Cevahir AVM
I101247,C167879,Male,66,Food & Beverage,5,137.25,Credit Card,04/11/2022,Emaar Square Mall
I101248,C170464,Female,42,Technology,1,1994.8,Debit Card,21/09/2022,Kanyon
I101249,C165020,Male,46,Souvenir,4,297.95,Cash,24/08/2021,Emaar Square Mall
